Academic Year,InState,International Status,Ethnicity,ChurchAffiliation,ClassLevel,Gender,StudentCount,vegitarian
2012,FALSE,International Student,International Student,Other,Sophomore,Female,25,yes
2012,FALSE,International Student,International Student,Other,Sophomore,Male,37,yes
2012,TRUE,International Student,International Student,Christian Reformed,First-year,Female,3,yes
2012,TRUE,International Student,International Student,Christian Reformed,Junior,Male,1,yes
2012,TRUE,International Student,International Student,Christian Reformed,Senior,Female,2,yes
2012,TRUE,International Student,International Student,Christian Reformed,Senior,Male,2,yes
2012,TRUE,International Student,International Student,Christian Reformed,Sophomore,Male,1,yes
2012,TRUE,International Student,International Student,Other,First-year,Female,2,yes
2012,TRUE,International Student,International Student,Other,First-year,Male,3,yes
2012,TRUE,International Student,International Student,Other,Junior,Female,4,yes
2012,TRUE,International Student,International Student,Other,Junior,Male,1,yes
2012,TRUE,International Student,International Student,Other,Senior,Female,2,yes
2012,TRUE,International Student,International Student,Other,Senior,Male,3,yes
2012,TRUE,International Student,International Student,Other,Sophomore,Female,6,yes
2012,TRUE,International Student,International Student,Other,Sophomore,Male,1,yes
2013,FALSE,International Student,International Student,Christian Reformed,First-year,Female,9,yes
2013,FALSE,International Student,International Student,Christian Reformed,First-year,Male,5,yes
2013,FALSE,International Student,International Student,Christian Reformed,Junior,Female,9,yes
2013,FALSE,International Student,International Student,Christian Reformed,Junior,Male,4,yes
2013,FALSE,International Student,International Student,Christian Reformed,Senior,Female,8,yes
2013,FALSE,International Student,International Student,Christian Reformed,Senior,Male,11,yes
2013,FALSE,International Student,International Student,Christian Reformed,Sophomore,Female,16,yes
2013,FALSE,International Student,International Student,Christian Reformed,Sophomore,Male,8,yes
2013,FALSE,International Student,International Student,Other,First-year,Female,37,yes
2013,FALSE,International Student,International Student,Other,First-year,Male,35,yes
2013,FALSE,International Student,International Student,Other,Junior,Female,26,yes
2013,FALSE,International Student,International Student,Other,Junior,Male,29,yes
2013,FALSE,International Student,International Student,Other,Senior,Female,29,yes
2013,FALSE,International Student,International Student,Other,Senior,Male,40,yes
2013,FALSE,International Student,International Student,Other,Sophomore,Female,46,yes
2013,FALSE,International Student,International Student,Other,Sophomore,Male,42,yes
2013,TRUE,International Student,International Student,Christian Reformed,Junior,Male,1,yes
2013,TRUE,International Student,International Student,Christian Reformed,Senior,Male,2,yes
2013,TRUE,International Student,International Student,Christian Reformed,Sophomore,Female,3,yes
2013,TRUE,International Student,International Student,Other,First-year,Female,3,yes
2013,TRUE,International Student,International Student,Other,First-year,Male,4,yes
2013,TRUE,International Student,International Student,Other,Junior,Female,3,yes
2013,TRUE,International Student,International Student,Other,Junior,Male,1,yes
2013,TRUE,International Student,International Student,Other,Senior,Female,5,yes
2013,TRUE,International Student,International Student,Other,Senior,Male,1,yes
2013,TRUE,International Student,International Student,Other,Sophomore,Female,4,yes
2013,TRUE,International Student,International Student,Other,Sophomore,Male,3,yes
2014,FALSE,International Student,International Student,Christian Reformed,First-year,Female,3,yes
2014,FALSE,International Student,International Student,Christian Reformed,First-year,Male,7,yes
2014,FALSE,International Student,International Student,Christian Reformed,Graduate Student,Female,1,yes
2014,FALSE,International Student,International Student,Christian Reformed,Junior,Female,15,yes
2014,FALSE,International Student,International Student,Christian Reformed,Junior,Male,6,yes
2014,FALSE,International Student,International Student,Christian Reformed,Senior,Female,7,yes
2014,FALSE,International Student,International Student,Christian Reformed,Senior,Male,7,yes
2014,FALSE,International Student,International Student,Christian Reformed,Sophomore,Female,11,yes
2014,FALSE,International Student,International Student,Christian Reformed,Sophomore,Male,3,yes
2014,FALSE,International Student,International Student,Other,First-year,Female,37,yes
2014,FALSE,International Student,International Student,Other,First-year,Male,47,yes
2014,FALSE,International Student,International Student,Other,Junior,Female,43,yes
2014,FALSE,International Student,International Student,Other,Junior,Male,37,yes
2014,FALSE,International Student,International Student,Other,Senior,Female,32,yes
2014,FALSE,International Student,International Student,Other,Senior,Male,32,yes
2014,FALSE,International Student,International Student,Other,Sophomore,Female,30,yes
2014,FALSE,International Student,International Student,Other,Sophomore,Male,34,yes
2014,TRUE,International Student,International Student,Christian Reformed,First-year,Female,2,yes
2014,TRUE,International Student,International Student,Christian Reformed,First-year,Male,1,yes
2014,TRUE,International Student,International Student,Christian Reformed,Junior,Female,3,yes
2014,TRUE,International Student,International Student,Christian Reformed,Senior,Male,2,yes
2014,TRUE,International Student,International Student,Other,First-year,Female,12,yes
2014,TRUE,International Student,International Student,Other,First-year,Male,4,yes
2014,TRUE,International Student,International Student,Other,Junior,Female,3,yes
2014,TRUE,International Student,International Student,Other,Junior,Male,2,yes
2014,TRUE,International Student,International Student,Other,Senior,Female,5,yes
2014,TRUE,International Student,International Student,Other,Senior,Male,1,yes
2014,TRUE,International Student,International Student,Other,Sophomore,Female,3,yes
2014,TRUE,International Student,International Student,Other,Sophomore,Male,4,yes
2015,FALSE,International Student,International Student,Christian Reformed,First-year,Female,3,yes
2015,FALSE,International Student,International Student,Christian Reformed,First-year,Male,2,yes
2015,FALSE,International Student,International Student,Christian Reformed,Junior,Female,10,yes
